Year,State,Population,Number of agencies,Total law enforcement employees,Total male officers,Total female officers,Total male civilians,Total female civilians
2011,INDIANA,6119628,244,15851,9878,761,2511,2701
2011,IOWA,2990283,235,7573,4676,400,910,1587
2011,KANSAS,2541382,320,10058,6004,590,1433,2031
2011,KENTUCKY,3695575,287,9063,6572,473,825,1193
2011,LOUISIANA,4006987,181,20593,12702,2870,1583,3438
2011,MAINE,1327672,135,2819,2121,136,214,348
2011,MARYLAND,5655068,131,20453,13402,2050,1981,3020
2011,MASSACHUSETTS,6489247,341,19771,14962,1363,1425,2021
2011,MICHIGAN,9850684,603,23744,15366,2322,2766,3290
2011,MINNESOTA,5263708,321,13409,7749,1040,1895,2725
2011,MISSISSIPPI,2014546,134,6216,3669,367,861,1319
2011,MISSOURI,5911375,560,20158,13062,1424,2171,3501
2011,MONTANA,996168,112,3022,1793,114,465,650
2011,NEBRASKA,1797644,156,4893,3147,389,367,990
2011,NEVADA,2247950,26,8325,4357,472,1291,2205
2011,NEW HAMPSHIRE,1196658,155,3473,2413,221,243,596
2011,NEW JERSEY,8520270,538,36854,26133,2424,3242,5055
2011,NEW MEXICO,2010149,112,6181,4063,441,578,1099
2011,NEW YORK,19218297,449,81795,52646,8292,7412,13445
2011,NORTH CAROLINA,9653354,513,33061,20504,2573,4608,5376
2011,NORTH DAKOTA,678227,103,1864,1215,145,173,331
2011,OHIO,10255737,617,30000,19423,2197,3433,4947
2011,OKLAHOMA,3791508,337,11978,7178,561,1816,2423
2011,OREGON,3837283,213,10057,5502,610,1721,2224
2011,PENNSYLVANIA,9530934,966,31245,23120,2684,2062,3379
2011,RHODE ISLAND,1051302,48,3091,2308,182,264,337
2011,SOUTH CAROLINA,4678921,384,15689,10207,1383,1530,2569
2011,SOUTH DAKOTA,821001,138,2833,1441,102,559,731
2011,TENNESSEE,6399226,453,25784,14594,1501,4448,5241
2011,TEXAS,25494380,1023,89839,49119,6267,14895,19558
2011,UTAH,2808993,135,6965,4475,338,907,1245
2011,VERMONT,372484,68,1503,1040,107,115,241
2011,VIRGINIA,8093016,280,23443,16163,2189,1384,3707
2011,WASHINGTON,6813350,259,14315,9277,990,1446,2602
2011,WEST VIRGINIA,1843538,353,4417,3324,116,369,608
2011,WISCONSIN,5704599,393,18968,11077,1729,2449,3713
2011,WYOMING,567714,70,2207,1402,134,155,516
2012,ALABAMA,3793835,279,12745,7951,682,1574,2538
2012,ALASKA,729244,37,1968,1177,106,237,448
2012,ARIZONA,6553255,124,22999,11625,1389,4556,5429
2012,ARKANSAS,2948787,279,9148,5332,504,1309,2003
2012,CALIFORNIA,32610316,462,117268,66892,10181,14694,25501
2012,COLORADO,5174997,238,17270,10125,1441,1944,3760
2012,CONNECTICUT,3590347,104,10271,7667,807,745,1052
2012,DELAWARE,916825,55,3151,1987,315,315,534
2012,DISTRICT OF COLUMBIA,632323,2,4976,3355,960,282,379
2012,FLORIDA,16672179,333,65683,34959,5960,9261,15503
2012,GEORGIA,9416852,493,34769,21837,4230,2775,5927
2012,HAWAII,1392313,4,3720,2657,285,238,540
2012,IDAHO,1573210,106,4265,2579,158,316,1212
2012,ILLINOIS,11569093,581,45505,26945,4948,7007,6605
2012,INDIANA,4502197,161,12032,8133,670,1405,1824
2012,IOWA,2731249,229,7375,4353,342,1086,1594
2012,KANSAS,2404632,313,9675,5869,586,1261,1959
2012,KENTUCKY,4059632,336,9728,7111,512,819,1286
2012,LOUISIANA,3792686,159,19364,12197,2881,1144,3142
2012,MAINE,1328674,136,2826,2108,147,219,352
2012,MARYLAND,5711397,128,17956,12080,1937,1389,2550
2012,MASSACHUSETTS,6450418,329,19282,14721,1325,1311,1925
2012,MICHIGAN,9855046,588,23165,14924,2199,2816,3226
2012,MINNESOTA,5292552,319,13476,7754,1047,1971,2704
2012,MISSISSIPPI,1560540,95,5662,3224,377,887,1174
2012,MISSOURI,5715097,532,19487,12469,1381,2270,3367
2012,MONTANA,873898,99,2405,1592,113,249,451
2012,NEBRASKA,1812244,160,4943,3155,380,420,988
2012,NEVADA,2758931,53,9447,5139,539,1345,2424
2012,NEW HAMPSHIRE,1204043,156,3436,2413,216,225,582
2012,NEW JERSEY,8566377,541,37881,26339,2609,3372,5561
2012,NEW MEXICO,1966211,106,6023,3919,442,576,1086
2012,NEW YORK,18350544,409,79358,51100,8105,7134,13019
2012,NORTH CAROLINA,9749062,517,33353,20524,2614,4814,5401
2012,NORTH DAKOTA,698507,104,1968,1294,150,174,350
2012,OHIO,7466543,373,19288,13218,1631,1558,2881
2012,OKLAHOMA,3814820,346,12445,7362,591,2061,2431
2012,OREGON,3862840,219,9918,5473,584,1706,2155
2012,PENNSYLVANIA,9815035,1003,30203,22824,2596,1848,2935
2012,RHODE ISLAND,1050292,49,3045,2283,175,254,333
2012,SOUTH CAROLINA,4594608,320,15135,9593,1241,1673,2628
2012,SOUTH DAKOTA,830046,143,2820,1490,105,543,682
2012,TENNESSEE,6445821,445,26268,14842,1552,4615,5259
2012,TEXAS,23778955,984,72877,40996,5311,12260,14310
2012,UTAH,2855287,137,7042,4576,354,888,1224
2012,VERMONT,379426,72,1677,1097,136,144,300
2012,VIRGINIA,8183013,281,23625,16405,2204,1335,3681
2012,WASHINGTON,6880100,256,14212,9192,936,1548,2536
2012,WEST VIRGINIA,1843496,355,4475,3397,131,359,588
2012,WISCONSIN,5687485,388,18638,10949,1691,2491,3507
2012,WYOMING,574786,68,2074,1346,114,161,453
2013,ALABAMA,4255554,296,14173,8773,719,1718,2963
2013,ALASKA,732933,36,1937,1202,110,187,438
2013,ARIZONA,6452958,96,21192,10702,1253,4343,4894
2013,ARKANSAS,2931406,275,9250,5402,491,1321,2036
2013,CALIFORNIA,32855611,460,117322,66880,10032,14813,25597
2013,COLORADO,5250935,236,17441,10389,1592,1803,3657
2013,CONNECTICUT,3596080,102,10349,7716,801,778,1054
2013,DELAWARE,924670,54,3168,2021,318,318,511
2013,DISTRICT OF COLUMBIA,646449,2,5065,3546,1033,201,285
2013,FLORIDA,17707637,345,67816,36331,6015,9096,16374
2013,GEORGIA,7874446,384,29070,18027,3471,2408,5164
2013,HAWAII,1404054,4,3658,2612,274,244,528
2013,IDAHO,1611052,108,4272,2547,160,297,1268
2013,ILLINOIS,4224723,262,14563,8606,814,2473,2670
2013,INDIANA,3577585,111,9693,6509,545,1223,1416
2013,IOWA,2940917,228,7747,4635,400,1070,1642
2013,KANSAS,2335161,299,9249,5619,555,1254,1821
2013,KENTUCKY,3664515,306,9120,6632,460,783,1245
2013,LOUISIANA,1876708,54,10987,6635,1593,840,1919
2013,MAINE,1327788,132,2806,2095,148,218,345
2013,MARYLAND,5927650,153,22726,15092,2220,2276,3138
2013,MASSACHUSETTS,6491295,331,19650,14915,1378,1385,1972
2013,MICHIGAN,9839233,621,22669,14716,2193,2713,3047
2013,MINNESOTA,5336155,316,13348,7699,1044,1997,2608
2013,MISSISSIPPI,1213729,66,4609,2595,308,653,1053
2013,MISSOURI,5938974,561,20093,13010,1390,2204,3489
2013,MONTANA,965672,98,2542,1575,109,328,530
2013,NEBRASKA,1817308,152,4915,3126,371,416,1002
2013,NEVADA,2790136,36,8812,4852,507,1277,2176
2013,NEW HAMPSHIRE,1206956,155,3432,2396,216,241,579
2013,NEW JERSEY,7966491,479,31931,22309,2151,3038,4433
2013,NEW MEXICO,164145,28,511,320,33,64,94
2013,NEW YORK,17856511,361,78497,50474,8054,7085,12884
2013,NORTH CAROLINA,9732673,514,33505,20630,2628,4831,5416
2013,NORTH DAKOTA,722555,104,1992,1310,161,169,352
2013,OHIO,5370790,212,16934,11695,1452,1288,2499
2013,OKLAHOMA,3849983,324,12216,7224,617,2005,2370
2013,OREGON,3894070,215,9787,5391,568,1695,2133
2013,PENNSYLVANIA,9796604,1030,30082,22699,2579,1800,3004
2013,RHODE ISLAND,1051511,48,3056,2251,183,277,345
